Human Says:,ChatBot Says:
indi chicken tikka,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
1,"Rs.250  Your order placed successfully!! <img src=""/static/ok.png"">"
2,"Rs.499  Your order placed successfully!! <img src=""/static/ok.png"">"
3,"Rs.750 Your order placed successfully!! <img src=""/static/ok.png"">"
4,"Rs.999 Your order placed successfully!! <img src=""/static/ok.png"">"
5,"Rs.1250 Your order placed successfully!! <img src=""/static/ok.png"">"
order status,"Preparing please wait <img src=""/static/pre.png"">"
status,"Preparing please wait <img src=""/static/pre.png"">"
ordered status,"Preparing please wait <img src=""/static/pre.png"">"
status order,"Preparing please wait <img src=""/static/pre.png"">"
Where is my order?,"Will be delivered soon!!  <img src=""/static/del.png"">"
where is the order?,"Will be delivered soon!!  <img src=""/static/del.png"">"
when my order i will be delivered?,"Will be delivered soon!!  <img src=""/static/del.png"">"
bye,"<img src=""/static/finalbye.png"">"
good bye,"<img src=""/static/finalbye.png"">"
tata,"<img src=""/static/finalbye.png"">"
see you ,"<img src=""/static/finalbye.png"">"
see you later,"<img src=""/static/finalbye.png"">"
where is my pizza,"Will be delivered soon!!  <img src=""/static/del.png"">"
when will my pizza arrive,"Will be delivered soon!! <img src=""/static/del.png"">"
arrival of my pizza,"Will be delivered soon!! <img src=""/static/del.png"">"
arrival of the pizza,"Will be delivered soon!! <img src=""/static/del.png"">"
thank u,You are welcome!!
thanks,You are welcome!!
thank you,You are welcome!!
types of pizza,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
type of pizza,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
pizza type,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
type,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
types of pizza,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
size of pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
pizza size,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
size of pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
crust ,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
crust size,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
pizza crust size,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
toppings,"Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes')"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>Non-Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Salami')"";>Salami</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepperoni')"";>Pepperoni</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Bacon')"";>Bacon</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken breasts')"";>Chicken breasts</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Ham')"";>Ham</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sausages')"";>Sausages</a><br>"
toppings of the pizza,"Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes')"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>Non-Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Salami')"";>Salami</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepperoni')"";>Pepperoni</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Bacon')"";>Bacon</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken breasts')"";>Chicken breasts</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Ham')"";>Ham</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sausages')"";>Sausages</a><br>"
veg toppings,"Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes')"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>"
non-veg toppings,"Non-Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Salami')"";>Salami</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepperoni')"";>Pepperoni</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Bacon')"";>Bacon</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken breasts')"";>Chicken breasts</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Ham')"";>Ham</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sausages')"";>Sausages</a><br>"
menu,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
get me the menu,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
get me the menu of today,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
menu card,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
menu please,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
variety of pizza,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
pizza variety,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
get the menu card,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
what is special today,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br><br>Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
